ticker,security_type,name,valid_from,valid_to
SWN,EQUITY,Southwestern Energy Company,1987-12-30,2024-10-01
SWY,EQUITY,Safeway Inc,1990-04-26,2015-02-09
TDC,EQUITY,Teradata Corp,2007-10-01,
TEG,EQUITY,Integrys Energy Group Inc,1988-01-05,2015-06-29
TEX,EQUITY,Terex Corp,1990-03-26,
TFX,EQUITY,Teleflex Incorporated,1988-02-18,
TGNA,EQUITY,TEGNA Inc,1985-07-01,2026-03-20
THC,EQUITY,Tenet Healthcare Corp,1982-01-04,
TIE,EQUITY,Titanium Metals Corp,2006-12-28,2013-01-07
TIF,EQUITY,Tiffany & Company,1987-12-30,2021-01-08
TKR,EQUITY,Timken Company,1985-07-01,
TRIP,EQUITY,TripAdvisor Inc,2011-12-07,
TWC,EQUITY,Time Warner Cable Inc,2007-03-01,2016-05-26
TWTR,EQUITY,Twitter Inc,2013-11-07,2022-10-28
TWX,EQUITY,Time Warner Inc,1992-03-19,2018-06-15
UA,EQUITY,Under Armour Inc - Class C,2016-04-07,
UAA,EQUITY,Under Armour Inc - Class A,2005-11-18,
UIS,EQUITY,Unisys Corp,1972-06-01,
UNM,EQUITY,Unum Group,1986-11-06,
URBN,EQUITY,Urban Outfitters Inc,1993-11-09,
VAR,EQUITY,Varian Medical Systems Inc,1988-01-05,2021-04-16
VFC,EQUITY,VF Corp,1985-07-01,
VIAB,EQUITY,Viacom Inc,2005-12-05,2019-12-04
VNO,EQUITY,Vornado Realty Trust,1988-01-05,
VNT,EQUITY,Vontier Corporation,2020-09-25,
VTSS,EQUITY,Vitesse Semiconductor Corp,1991-12-11,2015-05-06
WBA,EQUITY,Walgreens Boots Alliance Inc,1985-07-01,2025-08-28
WCG,EQUITY,WellCare Health Plans Inc,2004-07-01,2020-01-23
WEN,EQUITY,Wendy`s Co - Class A,1992-03-17,
WFM,EQUITY,Whole Foods Market Inc,1992-01-23,2017-08-29
WHR,EQUITY,Whirlpool Corp,1983-06-10,
WOR,EQUITY,Worthington Enterprises Inc,1990-03-26,
WPX,EQUITY,WPX Energy Inc,2011-12-12,2021-01-14
WU,EQUITY,Western Union Company,2006-10-02,
X,EQUITY,United States Steel Corp,1991-04-12,2025-06-18
XEC,EQUITY,Cimarex Energy Company,2002-09-25,2021-10-04
XL,EQUITY,XL Group plc,1991-07-19,2018-09-13
XLNX,EQUITY,Xilinx Inc,1990-06-18,2022-02-14
XRAY,EQUITY,DENTSPLY Sirona Inc,1991-04-25,
XRX,EQUITY,Xerox Holdings Corp,1977-01-03,
XTO,EQUITY,XTO ENERGY INC,2001-01-02,2013-02-07
ZION,EQUITY,Zions Bancorporation N.A,1990-03-26,
